RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,AccessId_type,AccessId,RequireCurrent_type,RequireCurrent,RequireWatt_type,RequireWatt,ChargingTime_type,ChargingTime,StartDelay_type,StartDelay,UserConfirm_type,UserConfirm,ChargerNumber_type,ChargerNumber
2021-09-07 08:36:00,00,D88039EC8125,001A,05,CF,16,09,2009400064,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-07 14:59:00,00,D88039EC8125,001A,05,15,16,09,1237713664,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-08 08:32:00,00,D88039EC8125,001A,05,8B,16,09,1422459648,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-08 16:53:00,00,D88039EC8125,001A,05,3D,16,09,1741292288,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-10 08:38:00,00,D88039EC8125,001A,05,23,16,09,2312176384,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-10 15:15:00,00,D88039EC8125,001A,05,C5,16,09,2647786240,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-13 09:09:00,00,D88039EC8125,001A,05,36,16,09,4041016064,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-13 15:40:00,00,D88039EC8125,001A,05,0B,16,09,4259185408,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-14 13:05:00,00,D88039EC8125,001A,05,41,16,09,2397176576,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-15 16:52:00,00,D88039EC8125,001A,05,A4,16,09,2229732096,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-16 11:38:00,00,D88039EC8125,001A,05,7B,16,09,2078999296,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-16 11:42:00,00,D88039EC8125,001A,05,C0,16,09,2112553728,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-16 11:44:00,00,D88039EC8125,001A,05,02,16,09,2146108160,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-16 15:49:00,00,D88039EC8125,001A,05,36,16,09,418120448,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-17 06:44:00,00,D88039EC8125,001A,05,4C,16,09,1223623424,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-23 06:59:00,00,D88039EC8125,001A,05,83,16,09,2886075392,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-23 15:51:00,00,D88039EC8125,001A,05,FC,16,09,2080900096,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-24 08:50:00,00,D88039EC8125,001A,05,11,16,09,2181760000,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-27 07:17:00,00,D88039EC8125,001A,05,71,16,09,1343620096,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-27 15:19:00,00,D88039EC8125,001A,05,82,16,09,35128320,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-28 15:30:00,00,D88039EC8125,001A,05,D6,16,09,1092355072,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-09-29 14:21:00,00,D88039EC8125,001A,05,98,16,09,1243612160,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-01 06:20:00,00,D88039EC8125,001A,05,45,16,09,1713898496,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-01 13:26:00,00,D88039EC8125,001A,05,B3,16,09,2015953920,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-05 07:17:00,00,D88039EC8125,001A,05,08,16,09,2352481280,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-06 07:27:00,00,D88039EC8125,001A,05,B6,16,09,2688287744,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-07 07:04:00,00,D88039EC8125,001A,05,A6,16,09,3107980288,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-08 07:09:00,00,D88039EC8125,001A,05,40,16,09,88409088,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-08 15:17:00,00,D88039EC8125,001A,05,31,16,09,709231616,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-12 07:27:00,00,D88039EC8125,001A,05,E2,16,09,3847488512,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-13 07:23:00,00,D88039EC8125,001A,05,2C,16,09,1046021120,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-13 11:21:00,00,D88039EC8125,001A,05,AA,16,09,3193504768,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-14 16:33:00,00,D88039EC8125,001A,05,1E,16,09,576652288,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
